Date,Monthly_sales_total
1/4/2004,0.291411165324636
1/8/2004,0.2972351079455972
1/7/2004,0.299574341925806
1/9/2004,0.3000137043756549
1/6/2004,0.30067637213074744
1/5/2004,0.30255455063353603
1/3/2004,0.3029765954447685
1/10/2004,0.3077679107453853
1/11/2004,0.3142808101766704
1/12/2004,0.3201788624937901
1/12/2005,0.2508853013886903
1/1/2005,0.2562019929725692
1/11/2005,0.2805588162712158
1/8/2005,0.2835478056207271
1/5/2005,0.2845305510293885
1/4/2005,0.2876233698475731
1/2/2005,0.2897555193828321
1/9/2005,0.2914768732298713
1/6/2005,0.29332328365252125
1/3/2005,0.2942578982784225
1/7/2005,0.2945407150674433
1/10/2005,0.2979464144347173
1/1/2006,0.2600730369328128
1/8/2006,0.2710853494896977
1/4/2006,0.2823529674410621
1/10/2006,0.2851738340793055
1/2/2006,0.2865668549696714
1/3/2006,0.2881074024105419
1/7/2006,0.29057597730369145
1/12/2006,0.29308340712847075
1/11/2006,0.29615796270726913
1/6/2006,0.29718830161446513
1/5/2006,0.0
1/9/2006,0.0
1/4/2007,0.24425031132875594
1/1/2007,0.2581386083021986
1/3/2007,0.2730313359693888
1/10/2007,0.27860570697065984
1/2/2007,0.2792374966774618
1/9/2007,0.2877634367569881
1/8/2007,0.28948359140368723
1/11/2007,0.2936584082729096
1/12/2007,0.2937247806160976
1/7/2007,0.29912170885644074
1/5/2007,0.3012049586253164
1/6/2007,0.30581643953346943
1/12/2008,0.2561148862541975
1/8/2008,0.2625437658738117
1/1/2008,0.2641171669797218
1/9/2008,0.2748542593642981
1/2/2008,0.2814553165010081
1/10/2008,0.29076418623353073
1/11/2008,0.3010825319728125
1/3/2008,0.30505697558319755
1/5/2008,0.3137152470331221
1/4/2008,0.3196785768175465
1/6/2008,0.3222237764757249
1/7/2008,0.0
1/1/2009,0.2762836211792499
1/12/2009,0.3012281940886544
1/2/2009,0.3022856338174659
1/10/2009,0.303460934123478
1/9/2009,0.3054856813207534
1/4/2009,0.3091455969139413
1/7/2009,0.3100795859912866
1/8/2009,0.3118622303239724
1/11/2009,0.3118867583841426
1/3/2009,0.3196650704725399
1/5/2009,0.3304601340287797
1/6/2009,0.3437379553394053
1/1/2010,0.2869446068816596
1/12/2010,0.2875312992228907
1/10/2010,0.31839811042447064
1/2/2010,0.32278394430169105
1/11/2010,0.3262721547136189
1/8/2010,0.3321079513005313
1/9/2010,0.33395447940895523
1/3/2010,0.3481797983098285
1/6/2010,0.3523453595026245
1/5/2010,0.3619891431714544
1/4/2010,0.36364818271085575
1/7/2010,0.3783678293350566
1/2/2011,0.30448807290671925
1/1/2011,0.3094743262858533
1/10/2011,0.3286453505518251
1/9/2011,0.3486320904443913
1/3/2011,0.3515686022030183
1/12/2011,0.3524142432867755
1/11/2011,0.36200747056286026
1/8/2011,0.3649294143711621
1/4/2011,0.4047759133297932
1/5/2011,0.4100938107946707
1/6/2011,0.41196082100599146
1/7/2011,0.4292916469769555
1/1/2012,0.3217435043271778
1/12/2012,0.3806054384196873
1/10/2012,0.38124257362671005
1/2/2012,0.3854082380378936
1/11/2012,0.3871171479416145
1/9/2012,0.39549667483999823
1/8/2012,0.39950126826264376
1/3/2012,0.4241801815088663
1/4/2012,0.4277106879667588
1/7/2012,0.42882335625778617
1/5/2012,0.4551898861578478
1/6/2012,0.4566044156276679
1/1/2013,0.3103697518144665
1/2/2013,0.3638272370147605
1/10/2013,0.42139986412345626
1/12/2013,0.4360198767325844
1/9/2013,0.4438763421295466
1/8/2013,0.4455810325115989
1/11/2013,0.4466365000303547
1/3/2013,0.4571693829980461
1/4/2013,0.5094723888063739
1/5/2013,0.521496047910183
1/6/2013,0.5384604332090235
1/7/2013,0.5602570273585672
1/1/2014,0.3693482753450891
1/12/2014,0.4320606304259587
1/10/2014,0.4668335436489459
1/8/2014,0.4849978738936735
1/2/2014,0.4955055154749787
1/9/2014,0.5036255432065075
1/11/2014,0.5058310449574226
1/3/2014,0.5601372152769282
1/4/2014,0.5883057154162068
1/5/2014,0.5998331604176108
1/6/2014,0.6380233727106114
1/7/2014,0.6681375513998867
1/1/2015,0.4330666969519649
1/2/2015,0.5437128360188276
1/10/2015,0.5492983537210937
1/12/2015,0.5633640769086673
1/9/2015,0.5765975391328614
1/11/2015,0.5907420104730721
1/8/2015,0.6230838335358848
1/4/2015,0.6546077519724637
1/3/2015,0.6574225625273222
1/5/2015,0.7103831805134079
1/6/2015,0.7545761127715205
1/7/2015,0.7883872002497601
1/1/2016,0.6085794919291619
1/10/2016,0.6533451136911096
1/2/2016,0.6771497925905255
1/12/2016,0.6779564869831435
1/9/2016,0.6824377192493989
1/11/2016,0.704337926874402
1/8/2016,0.7522419751604822
1/4/2016,0.8341931275324361
1/5/2016,0.8766048466673001
1/6/2016,0.9020577586320406
1/7/2016,1.0
1/3/2016,0.0
